Date,Open,High,Low,Close,Adj Close,Volume
2016-06-10,95.959999,96.099998,93.389999,93.750000,83.540466,9968400
2016-06-14,92.339996,92.760002,85.480003,88.750000,79.084976,21978700
2016-06-15,88.410004,90.919998,87.129997,90.440002,80.590927,10989132
2016-06-16,89.699997,89.809998,87.050003,88.000000,78.416641,10731800
2016-06-17,88.660004,90.400002,88.620003,89.540001,79.788940,5805000
2016-06-20,91.000000,92.379997,90.559998,90.949997,81.045387,7525600
2016-06-21,90.800003,91.290001,89.279999,90.510002,80.653313,6783200
2016-06-22,91.690002,92.650002,90.669998,91.849998,81.847374,5006300
2016-06-23,91.699997,95.690002,91.080002,95.610001,85.197906,12693900
2016-06-24,90.010002,92.379997,89.419998,91.010002,81.098854,16594500
2016-06-27,92.000000,92.080002,86.000000,87.000000,77.525543,16976600
2016-06-28,88.019997,88.940002,86.089996,88.459999,78.826553,9949600
2016-06-29,88.900002,90.419998,88.900002,90.349998,80.510727,7200500
2016-06-30,90.199997,91.239998,88.330002,90.000000,80.198845,8333300
2016-07-01,90.000000,90.949997,88.879997,90.800003,80.911728,7214800
2016-07-04,90.900002,91.900002,89.769997,90.730003,80.849350,9215900
2016-07-05,90.000000,90.639999,88.879997,89.000000,79.307739,5223400
2016-07-06,88.699997,89.209999,87.000000,88.260002,78.648338,7378500
2016-07-07,88.800003,90.699997,88.550003,90.160004,80.341423,6841800
2016-07-08,89.559998,91.800003,89.010002,91.510002,81.544411,9501100
2016-07-11,91.860001,94.470001,91.699997,92.699997,82.604805,8229700
2016-07-12,93.389999,94.940002,92.910004,94.809998,84.485023,5922300
2016-07-13,94.599998,96.699997,93.500000,96.440002,85.937523,18889100
2016-07-14,96.519997,97.500000,95.279999,96.989998,86.427620,6072800
2016-07-15,96.510002,96.940002,94.849998,96.000000,85.545441,9452200
2016-07-18,96.000000,96.900002,95.339996,96.500000,85.990982,4537300
2016-07-19,97.059998,97.949997,96.099998,96.510002,85.999901,6809000
2016-07-20,96.709999,97.629997,95.629997,97.370003,86.766235,7524600
2016-07-21,97.510002,97.870003,95.699997,97.099998,86.525642,3406269
2016-07-22,96.470001,97.099998,96.190002,96.400002,85.901871,2187400
2016-07-25,96.980003,96.989998,94.699997,95.199997,84.832550,6378000
2016-07-26,95.230003,95.720001,93.599998,95.099998,84.743439,5953400
2016-07-27,95.290001,95.910004,94.639999,94.989998,84.645424,5961200
2016-07-28,94.900002,96.260002,94.500000,95.900002,85.456329,8251000
2016-07-29,96.000000,98.910004,95.360001,98.800003,88.040512,13602700
2016-08-01,99.809998,99.930000,97.400002,98.410004,87.692986,8826800
2016-08-02,98.699997,98.849998,96.400002,96.580002,86.062271,8004500
2016-08-03,96.500000,97.419998,95.629997,97.000000,86.436539,7034000
2016-08-04,98.000000,98.000000,96.629997,97.230003,86.641487,3901700
2016-08-05,97.010002,98.199997,97.010002,97.510002,86.890999,6032300
2016-08-08,98.290001,98.900002,97.099998,98.449997,87.728622,7561200
2016-08-09,97.879997,99.510002,97.879997,99.000000,88.218735,5250900
