ISIN;Name;Price;Nominal;Coupon;ACI;Coupon_date;Coupon_days;Expiration_date
RU000A0JWFE0;БелугаБО-5;103;500;32.16;9.9;30.10.2019;182;29.04.2020
RU000A0JXTB5;БелугаБП1;101.99;1000;47.37;3.9;10.12.2019;182;07.06.2022
RU000A0JV3T7;БизнКонс_1;65;1000;359.01;90.58;15.12.2023;2184;06.12.2030
RU000A0JVBF8;БизнКонсБ1;100;1000;46.12;22.81;26.09.2019;182;26.03.2020
RU000A100725;БрайтФ_БП1;100;1000;31.79;31.44;27.06.2019;91;15.03.2029
RU000A100691;ВБРР_1P-03;101.01;1000;22.06;2.91;13.09.2019;91;08.03.2024
RU000A0ZYCJ8;ВБРР_Б1P1;100.91;1000;42.38;18.16;08.10.2019;182;12.10.2020
RU000A0ZYQX9;ВБРР_Б1P2;100;1000;38.89;30.99;02.08.2019;182;30.07.2021
RU000A0JUD00;ВСИА2012_А;100.1;203.68;4.49;2.25;11.08.2019;92;11.08.2046
RU000A0JUD34;ВСИА2012_Б;0;1000;27.73;13.86;11.08.2019;92;11.08.2046
RU000A0JXNB8;ВСК_01P-01;100.81;1000;55.6;23.83;08.10.2019;182;05.04.2022
RU000A0JRSW5;ВТБ_2ИПА;0;135.09;3.06;1.03;26.08.2019;91;26.11.2043
RU000A0JRSX3;ВТБ_2ИПБ;100;135.13;1.02;0.34;26.08.2019;91;26.11.2043
RU000A0JSZF3;ВТБ_3ИПА;0;160.23;3.63;1.15;28.08.2019;91;15.09.2044
RU000A0JSZG1;ВТБ_3ИПБ;100;160.23;1.21;0.38;28.08.2019;91;15.09.2044
RU000A0JTXP5;ВТБ_4ИПА;0;229.96;5.22;1.42;01.09.2019;91;01.09.2044
RU000A0JTXQ3;ВТБ_4ИПБ;100;229.96;1.74;0.47;01.09.2019;91;01.09.2044
RU000A0JUCH4;ВТБ_5ИПА;0;221.86;5.03;1.26;03.09.2019;92;18.09.2046
RU000A0JUCJ0;ВТБ_5ИПБ;100.05;221.86;1.68;0.42;03.09.2019;92;18.09.2046
RU000A0JUPS3;ВТБ_6ИПА;0;286.49;6.5;1.48;05.09.2019;92;14.08.2043
RU000A0JUPT1;ВТБ_6ИПБ;100.05;286.49;2.17;0.49;05.09.2019;92;14.08.2043
RU000A0JV1E3;ВТБ_7ИПА;0;288.52;6.55;1.42;06.09.2019;92;06.12.2044
RU000A0JV1F0;ВТБ_7ИПБ;0;288.47;2.18;0.47;06.09.2019;92;06.12.2044
RU000A0ZZYR2;ВТБ_Б-1-10;100.49;1000;20.32;1.56;18.09.2019;91;17.06.2020
RU000A100089;ВТБ_Б-1-13;100.54;1000;20.32;19.87;28.06.2019;91;26.06.2020
RU000A100EJ7;ВТБ_Б-1-18;99.98;1000;18.95;4.58;03.09.2019;91;02.06.2020
RU000A100FW7;ВТБ_Б-1-25;100.01;1000;18.7;1.85;16.09.2019;91;15.06.2020
RU000A100774;ВТБ_Б-1-27;100.16;1000;39.89;20.16;24.09.2019;182;24.03.2020
RU000A100AE6;ВТБ_Б-1-28;100.38;1000;39.89;14.03;22.10.2019;182;21.04.2020
RU000A100CS2;ВТБ_Б-1-29;100.1;1000;38.89;7.48;20.11.2019;182;20.05.2020
RU000A0ZYKG7;ВТБ_Б-1-3;100.45;1000;20.19;0.44;23.09.2019;91;23.12.2019
RU000A100EN9;ВТБ_Б-1-30;93;1000;0.1;0;05.06.2020;365;05.06.2022
RU000A0ZZBD0;ВТБ_Б-1-6;102.51;1000;0.02;0;28.06.2019;91;28.06.2019
RU000A0ZZH84;ВТБ_Б-1-8;100.6;1000;19.95;7.89;20.08.2019;91;24.08.2021
RU000A0JUQE1;ВТБ_БО-26;100.42;1000;20.19;0.22;24.09.2019;91;23.06.2020
RU000A0JV3Q3;ВТБ_БО-30;99.99;1000;19.32;1.06;20.09.2019;91;13.12.2024
RU000A0JU773;ВТБ_БО-43;100.06;1000;18.08;16.29;05.07.2019;91;29.09.2023
RU000A0JV441;ВТБЛизФБО1;100;631.59;0;0;24.09.2019;91;17.12.2024
RU000A0JUSQ1;ВТБЛизФБО2;100.01;538.48;11.75;6.07;09.08.2019;91;05.08.2022
RU000A0JV458;ВТБЛизФБО3;100;666.67;0;0;24.09.2019;91;21.12.2021
RU000A0JURL4;ВТБЛизФБО4;100;578.96;12.92;8.94;24.07.2019;91;17.07.2024
RU000A0JV466;ВТБЛизФБО5;100;615.4;0;0;24.09.2019;91;20.12.2022
RU000A0JV474;ВТБЛизФБО6;100;631.59;0;0;24.09.2019;91;17.12.2024
RU000A0JV482;ВТБЛизФБО7;100;615.4;0;0;24.09.2019;91;20.12.2022
RU000A0JV110;ВТБЛизФБО8;100;555.56;11.98;3.55;29.08.2019;91;25.11.2021
RU000A0ZYLK7;ВЦЗ_1P1R;102.46;1000;31.16;1.71;20.09.2019;91;10.12.2027
RU000A0ZZZP3;ВЭБ_1P-12;102.34;1000;22.79;0.25;24.09.2019;91;21.12.2021
RU000A1001V4;ВЭБ_1P-13;0;1000;45.28;37.81;26.07.2019;182;19.01.2024
RU000A1003W8;ВЭБ_1P-14;0;1000;44.53;32.05;16.08.2019;182;09.02.2024
RU000A1004U0;ВЭБ_1P-15;100.21;1000;43.53;28.22;29.08.2019;182;25.02.2021
RU000A100BM7;ВЭБ_1P-16;101.89;1000;43.23;13.54;29.10.2019;182;26.04.2022
RU000A0JW6P7;ВЭБ_ПБО1Р1;100;1000;115.68;38.45;24.02.2020;364;17.02.2025
RU000A0JWNE4;ВЭБ_ПБО1Р3;102.2;1000;24.43;1342.99;18.07.2019;182;15.07.2021
RU000A0JWNJ3;ВЭБ_ПБО1Р4;100.15;1000;50.61;43.1;23.07.2019;182;23.07.2019
