INSTRUMENT_ID;SUPERTYPE;ISIN
12208;Облигации;RU000A100FX5
12207;Облигации;RU000A100G29
11753;Облигации;
12206;Облигации;RU000A100G60
12205;Облигации;RU000A100GB9
12204;Облигации;RU000A100GJ2
12203;Облигации;
12202;Облигации;
12201;Облигации;
12200;Облигации;
12199;Облигации;
12198;Облигации;
12197;Облигации;
11754;Облигации;
12196;Облигации;
12195;Облигации;
12194;Облигации;
12193;Облигации;
12192;Облигации;
12191;Облигации;
12190;Облигации;
12189;Облигации;
12188;Облигации;
12187;Облигации;
11755;Облигации;
12186;Облигации;
12185;Облигации;
12184;Облигации;
12183;Облигации;
12182;Облигации;
12181;Облигации;
12180;Облигации;
12179;Облигации;
12178;Облигации;
12177;Облигации;
11756;Облигации;RU000A100FW7
12176;Облигации;
12175;Облигации;
12174;Облигации;
12173;Облигации;
12172;Облигации;
12171;Облигации;
12170;Облигации;
12169;Облигации;
12168;Облигации;
12167;Облигации;
5325;Облигации;RU000A0JUQE1
11832;Облигации;
9858;Облигации;
12166;Облигации;
12165;Облигации;
12164;Облигации;
12163;Облигации;
12162;Облигации;
12161;Облигации;
12160;Облигации;
12159;Облигации;
12158;Облигации;
12157;Облигации;
11833;Облигации;RU000A100774
9859;Облигации;
12156;Облигации;
12155;Облигации;
12154;Облигации;
12153;Облигации;
12152;Облигации;
12151;Облигации;
12150;Облигации;
12149;Облигации;
12148;Облигации;
12147;Облигации;
11834;Облигации;RU000A100AE6
9860;Облигации;
12146;Облигации;
12145;Облигации;
12144;Облигации;
12143;Облигации;
12142;Облигации;
12141;Облигации;
12140;Облигации;
12139;Облигации;
12138;Облигации;
12137;Облигации;
11856;Облигации;RU000A100CS2
9861;Облигации;
12136;Облигации;
12135;Облигации;
12134;Облигации;
12133;Облигации;
12132;Облигации;
12131;Облигации;
12130;Облигации;
12129;Облигации;
12128;Облигации;
12127;Облигации;
5329;Облигации;RU000A0JV3Q3
9862;Облигации;
12294;Облигации;
9876;Облигации;
12295;Облигации;
9877;Облигации;
9878;Облигации;
9879;Облигации;
9880;Облигации;
9663;Облигации;
9881;Облигации;
9664;Облигации;
9882;Облигации;
9665;Облигации;
9883;Облигации;
9666;Облигации;
9884;Облигации;
9667;Облигации;
9885;Облигации;
9668;Облигации;
9669;Облигации;
5342;Облигации;RU000A0JU773
9670;Облигации;
9671;Облигации;
9672;Облигации;
11007;Акции иностранного фонда;LU1483649825
11006;Акции иностранного фонда;LU1483649312
10541;Облигации;RU000A0ZYB40
3166;Облигации;RU000A0JR3H8
3167;Облигации;RU000A0JR3G0
3392;Облигации;RU000A0JRCX7
3701;Облигации;RU000A0JRTN2
4479;Облигации;RU000A0JT403
4489;Облигации;RU000A0JT6B2
4154;Облигации;RU000A0JS4Z7
5571;Облигации;RU000A0JUBA1
9303;Облигации;RU000A0JW6P7
9488;Облигации;RU000A0JWNE4
9502;Облигации;RU000A0JWNJ3
5101;Облигации;RU000A0JVQA7
9783;Облигации;RU000A0JX4Q9
9994;Облигации;RU000A0JXRP9
10364;Облигации;RU000A0JXU48
10397;Облигации;RU000A0JXU71
10728;Облигации;RU000A0ZYLH3
11282;Облигации;
11283;Облигации;
11284;Облигации;
11285;Облигации;
11286;Облигации;
11287;Облигации;
10730;Облигации;RU000A0ZYLJ9
11441;Облигации;
11648;Облигации;RU000A0ZZZP3
11684;Облигации;RU000A1001V4
11743;Облигации;RU000A1003W8
11783;Облигации;RU000A1004U0
11917;Облигации;RU000A100BM7
11919;Облигации;RU000A0NH145
11921;Облигации;RU000A0NH160
11922;Облигации;RU000A0NH178
11923;Облигации;RU000A0NH186
11924;Облигации;RU000A0NH194
11925;Облигации;RU000A0NH1A3
12262;Облигации;RU000A100F46
12263;Облигации;RU000A100F53
12264;Облигации;RU000A100F61
12265;Облигации;RU000A100F79
12266;Облигации;
11048;Облигации;
9197;Облигации;RU000A0JW1K9
10742;Облигации;RU000A0ZYMJ7
10603;Облигации;RU000A0ZYD55
10740;Облигации;RU000A0ZYM47
5976;Облигации;RU000A0JUQF8
9392;Облигации;RU000A0JWHN7
10048;Облигации;RU000A0JXS83
11256;Облигации;RU000A0ZZEM5
11798;Облигации;RU000A1004X4
5299;Облигации;RU000A0JS8X3
5416;Облигации;RU000A0JS8Y1
5417;Облигации;RU000A0JS8Z8
5431;Облигации;RU000A0JS900
5876;Облигации;RU000A0JS918
9249;Облигации;RU000A0JS926
10685;Облигации;RU000A0JS934
11192;Облигации;RU000A0ZZDB0
11457;Облигации;RU000A0ZZRR6
6111;Облигации;RU000A0JWC74
6112;Облигации;
6113;Облигации;
6114;Облигации;
6115;Облигации;RU000A0JVFJ1
6116;Облигации;
9358;Облигации;
9357;Облигации;
9356;Облигации;
9355;Облигации;
9354;Облигации;
9353;Облигации;
10815;Депозитарные расписки;US98387E2054
5081;Депозитарные расписки;US74735M1080
8572;Облигации;RU000A0JV2J0
10703;Облигации;RU000A0ZYHX8
10715;Облигации;RU000A0ZYKJ1
5923;Акции;NL0009805522
5763;Депозитарные расписки;US52634T2006
8920;Облигации;RU000A0JVK00
5347;Облигации;RU000A0JU2H5
5992;Облигации;RU000A0JUQP7
9440;Облигации;RU000A0JWM56
10052;Облигации;RU000A0JXT41
11105;Облигации;RU000A0ZZ9P8
11458;Облигации;RU000A0ZZSW4
10485;Облигации;RU000A0JXYS9
